⸮⸮x\҈⸮⸮⸮⸮4QIQJº뼨V⸮⸮n⸮ы⸮⸮⸮⸮⸮⸮⸮⸮⸮⸮!XInitializing I2C MPU...
Testing MPU connection...
MPU6050 connection successful
Initializing DMP...
>......>......
//         X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
// OFFSETS 906.00000,  -307.00000,  1282.00000,  61.00000,  -5.00000,  15.00000
Enabling DMP...
Enabling interrupt detection (Arduino external interrupt 0)...
DMP ready! Waiting for first interrupt...
Initializing altimeter...
Testing altimeter connection...
BMP085 connection successful
T/P/A	23.90	98694.00	221
ypr	0.46	-0.11	0.15
T/P/A	23.90	98695.00	221
ypr	0.48	-0.11	0.15
T/P/A	23.90	98694.00	221
ypr	0.48	-0.11	0.15
T/P/A	23.90	98695.00	221
ypr	0.50	-0.11	0.15
T/P/A	23.90	98694.00	221
ypr	0.50	-0.11	0.15
T/P/A	23.90	98690.00	221
ypr	0.52	-0.11	0.15
T/P/A	23.90	98691.00	221
ypr	0.53	-0.11	0.16
T/P/A	23.90	98694.00	221
ypr	0.55	-0.11	0.16
T/P/A	23.90	98691.00	221
ypr	0.56	-0.11	0.15
T/P/A	23.90	98694.00	221
ypr	0.57	-0.11	0.15
T/P/A	23.90	98695.00	221
ypr	0.58	-0.11	0.15
T/P/A	23.90	98690.00	221
ypr	0.59	-0.11	0.15
T/P/A	23.90	98693.00	221
ypr	0.60	-0.11	0.15
T/P/A	23.90	98690.00	221
ypr	0.62	-0.11	0.15
T/P/A	23.90	98684.00	222
ypr	0.63	-0.11	0.15
T/P/A	23.90	98695.00	221
ypr	0.64	-0.10	0.16
T/P/A	23.90	98692.00	221
ypr	0.65	-0.10	0.16
T/P/A	23.90	98700.00	220
ypr	0.66	-0.10	0.15
T/P/A	23.90	98685.00	222
ypr	0.66	-0.10	0.16
T/P/A	23.90	98689.00	221
ypr	0.67	-0.11	0.16
T/P/A	23.90	98688.00	221
ypr	0.69	-0.11	0.16
T/P/A	23.90	98690.00	221
ypr	0.69	-0.10	0.15
T/P/A	23.90	98688.00	221
ypr	0.71	-0.11	0.15
T/P/A	23.90	98685.00	222
ypr	0.71	-0.11	0.15
T/P/A	23.90	98689.00	221
ypr	0.73	-0.11	0.15
T/P/A	23.90	98683.00	222
ypr	0.74	-0.11	0.15
T/P/A	23.90	98687.00	221
ypr	0.75	-0.11	0.15
T/P/A	23.90	98685.00	222
ypr	0.76	-0.11	0.15
T/P/A	23.90	98685.00	222
ypr	0.78	-0.11	0.15
T/P/A	23.90	98686.00	222
ypr	0.79	-0.11	0.15
T/P/A	23.90	98691.00	221
ypr	0.80	-0.11	0.15
T/P/A	23.90	98688.00	221
ypr	0.82	-0.11	0.15
T/P/A	23.90	98685.00	222
ypr	0.83	-0.11	0.15
T/P/A	23.90	98686.00	222
ypr	0.84	-0.11	0.15
T/P/A	23.90	98686.00	222
ypr	0.85	-0.11	0.15
T/P/A	23.90	98688.00	221
ypr	0.86	-0.11	0.15
T/P/A	23.90	98690.00	221
ypr	0.87	-0.11	0.15
T/P/A	23.90	98680.00	222
ypr	0.88	-0.11	0.16
T/P/A	23.90	98683.00	222
ypr	0.90	-0.10	0.16
T/P/A	23.90	98688.00	221
ypr	0.90	-0.10	0.15
T/P/A	23.90	98689.00	221
ypr	0.92	-0.10	0.15
T/P/A	23.90	98687.00	221
ypr	0.92	-0.11	0.15
T/P/A	23.90	98684.00	222
ypr	0.94	-0.11	0.15
T/P/A	23.90	98682.00	222
ypr	0.95	-0.11	0.15
T/P/A	23.90	98688.00	221
ypr	0.96	-0.11	0.15
T/P/A	23.90	98683.00	222
ypr	0.97	-0.11	0.15
T/P/A	23.90	98686.00	222
ypr	0.98	-0.11	0.16
T/P/A	23.90	98688.00	221
ypr	0.99	-0.11	0.16
T/P/A	23.90	98686.00	222
ypr	1.00	-0.11	0.16
T/P/A	23.90	98684.00	222
ypr	1.01	-0.11	0.16
T/P/A	23.90	98683.00	222
ypr	1.02	-0.11	0.16
T/P/A	23.90	98688.00	221
ypr	1.03	-0.12	0.17
T/P/A	23.90	98689.00	221
ypr	1.04	-0.12	0.19
T/P/A	23.90	98688.00	221
ypr	1.06	-0.12	0.19
T/P/A	23.90	98687.00	221
ypr	1.06	-0.12	0.17
T/P/A	23.90	98679.00	222
ypr	1.08	-0.13	0.17
T/P/A	23.90	98684.00	222
ypr	1.71	-0.20	0.23
T/P/A	23.90	98683.00	222
ypr	1.07	-0.11	0.19
T/P/A	23.90	98683.00	222
ypr	-1.72	0.30	0.18
T/P/A	23.90	98682.00	222
ypr	-9.27	0.85	-0.04
T/P/A	23.90	98686.00	222
ypr	-16.20	0.87	-0.30
T/P/A	23.90	98688.00	221
ypr	-23.99	0.28	-0.69
T/P/A	23.90	98682.00	222
ypr	-34.21	-0.53	-1.19
T/P/A	23.90	98687.00	221
ypr	-43.51	-0.59	-2.23
T/P/A	23.90	98692.00	221
ypr	-51.89	0.32	-2.55
T/P/A	23.90	98686.00	222
ypr	-59.16	-1.84	-2.74
T/P/A	23.90	98688.00	221
ypr	-66.00	-1.64	-2.76
T/P/A	23.90	98690.00	221
ypr	-70.46	-1.34	-2.75
T/P/A	23.90	98688.00	221
ypr	-72.25	-0.35	-2.68
T/P/A	23.90	98695.00	221
ypr	-71.59	-0.77	-2.42
T/P/A	23.90	98690.00	221
ypr	-70.94	-0.66	-2.15
T/P/A	23.90	98692.00	221
ypr	-69.95	-0.55	-1.88
T/P/A	23.90	98694.00	221
ypr	-69.70	-0.40	-1.68
T/P/A	23.90	98693.00	221
ypr	-69.49	-0.44	-1.51
T/P/A	23.90	98688.00	221
ypr	-69.27	-0.35	-1.35
T/P/A	23.90	98684.00	222
ypr	-68.95	-0.48	-1.20
T/P/A	23.90	98694.00	221
ypr	-68.74	-0.31	-1.06
T/P/A	23.90	98694.00	221
ypr	-68.60	-0.21	-0.95
T/P/A	23.90	98688.00	221
ypr	-68.48	-0.14	-0.84
T/P/A	23.90	98695.00	221
ypr	-68.38	-0.10	-0.75
T/P/A	23.90	98693.00	221
ypr	-68.28	-0.08	-0.68
T/P/A	23.90	98691.00	221
ypr	-68.21	-0.00	-0.61
T/P/A	23.90	98691.00	221
ypr	-68.11	0.15	-0.54
T/P/A	23.90	98686.00	222
ypr	-66.55	0.69	-0.06
T/P/A	23.90	98691.00	221
ypr	-64.36	-2.20	2.42
T/P/A	23.90	98688.00	221
ypr	-61.16	-2.32	7.88
T/P/A	23.90	98688.00	221
ypr	-57.93	1.31	4.61
T/P/A	23.90	98684.00	222
ypr	-55.96	3.00	-0.72
T/P/A	23.90	98686.00	222
ypr	-57.18	3.09	2.71
T/P/A	23.90	98693.00	221
ypr	-56.69	-0.70	2.10
T/P/A	23.90	98684.00	222
ypr	-57.60	6.24	3.99
T/P/A	23.90	98695.00	221
ypr	-58.26	5.78	4.95
T/P/A	23.90	98694.00	221
ypr	-59.46	4.01	-0.35
T/P/A	23.90	98692.00	221
ypr	-60.09	4.55	-1.40
T/P/A	23.90	98691.00	221
ypr	-60.07	5.24	-0.43
T/P/A	23.90	98690.00	221
ypr	-60.84	3.60	-2.44
T/P/A	23.90	98693.00	221
ypr	-59.45	2.05	-1.95
T/P/A	23.90	98686.00	222
ypr	-59.50	0.80	-1.65
T/P/A	23.90	98692.00	221
ypr	-59.64	1.22	-1.86
T/P/A	23.90	98691.00	221
ypr	-59.62	2.21	-1.68
T/P/A	23.90	98685.00	222
ypr	-59.82	2.86	-1.43
T/P/A	23.90	98688.00	221
ypr	-59.64	2.83	-1.04
T/P/A	23.90	98694.00	221
ypr	-59.46	2.93	-0.19
T/P/A	23.90	98691.00	221
ypr	-60.04	3.34	-0.40
T/P/A	23.90	98682.00	222
ypr	-59.95	2.96	-0.05
T/P/A	23.90	98690.00	221
ypr	-59.85	2.83	-0.15
T/P/A	23.90	98692.00	221
ypr	-60.23	1.15	-0.12
T/P/A	23.90	98694.00	221
ypr	-60.39	-4.39	-0.80
T/P/A	23.90	98695.00	221
ypr	-60.23	-10.78	0.16
T/P/A	23.90	98689.00	221
ypr	-60.96	-18.56	0.30
T/P/A	23.90	98696.00	221
ypr	-61.96	-24.27	-0.17
T/P/A	23.90	98694.00	221
ypr	-63.27	-30.51	0.24
T/P/A	23.90	98696.00	221
ypr	-64.67	-35.38	0.68
T/P/A	23.90	98693.00	221
ypr	-65.52	-39.72	0.10
T/P/A	23.90	98694.00	221
ypr	-66.20	-42.63	-0.59
T/P/A	23.90	98696.00	221
ypr	-66.69	-44.72	-1.38
T/P/A	23.90	98695.00	221
ypr	-66.76	-45.46	-1.98
T/P/A	23.90	98688.00	221
ypr	-66.45	-45.00	-2.55
T/P/A	23.90	98688.00	221
ypr	-66.14	-44.13	-2.87
T/P/A	23.90	98693.00	221
ypr	-65.04	-40.15	-2.27
T/P/A	23.90	98688.00	221
ypr	-62.81	-28.57	-1.42
T/P/A	23.90	98693.00	221
ypr	-62.53	-19.99	-1.48
T/P/A	23.90	98694.00	221
ypr	-62.49	-11.62	-1.05
T/P/A	23.90	98692.00	221
ypr	-62.30	-8.45	-0.50
T/P/A	23.90	98691.00	221
ypr	-62.23	-7.31	-0.42
T/P/A	23.90	98692.00	221
ypr	-62.16	-6.95	-0.42
T/P/A	23.90	98694.00	221
ypr	-62.10	-6.87	-0.41
T/P/A	23.90	98691.00	221
ypr	-62.04	-7.11	-0.41
T/P/A	23.90	98689.00	221
ypr	-61.90	-8.10	-0.33
T/P/A	23.90	98690.00	221
ypr	-61.84	-8.35	-0.21
T/P/A	23.90	98690.00	221
ypr	-61.66	-9.74	0.16
T/P/A	23.90	98687.00	221
ypr	-61.34	-13.73	1.58
T/P/A	23.90	98696.00	221
ypr	-61.49	-15.83	2.51
T/P/A	23.90	98689.00	221
ypr	-61.76	-16.73	2.44
T/P/A	23.90	98692.00	221
ypr	-61.87	-17.06	2.05
T/P/A	23.90	98689.00	221
ypr	-61.75	-17.97	1.28
T/P/A	23.90	98687.00	221
ypr	-61.85	-18.52	0.35
T/P/A	23.90	98691.00	221
ypr	-61.92	-18.91	-0.12
T/P/A	23.90	98689.00	221
ypr	-61.81	-19.15	-0.44
T/P/A	23.90	98695.00	221
ypr	-61.76	-19.06	-0.48
T/P/A	23.90	98690.00	221
ypr	-61.78	-19.03	-0.40
T/P/A	23.90	98690.00	221
ypr	-61.73	-18.92	-0.39
T/P/A	23.90	98688.00	221
ypr	-61.66	-18.85	-0.42
T/P/A	23.90	98690.00	221
ypr	-61.54	-18.81	-0.54
T/P/A	23.90	98694.00	221
ypr	-61.36	-18.76	-0.64
T/P/A	23.90	98692.00	221
ypr	-61.16	-18.80	-0.83
T/P/A	23.90	98690.00	221
ypr	-61.09	-18.80	-0.84
T/P/A	23.90	98693.00	221
ypr	-61.00	-18.71	-0.89
T/P/A	23.90	98694.00	221
ypr	-60.96	-18.50	-0.85
T/P/A	23.90	98696.00	221
ypr	-60.93	-18.19	-0.79
T/P/A	23.90	98695.00	221
ypr	-60.88	-18.11	-0.79
T/P/A	23.90	98697.00	221
ypr	-60.86	-17.89	-0.89
T/P/A	23.90	98694.00	221
ypr	-61.01	-17.27	-0.95
T/P/A	23.90	98690.00	221
ypr	-60.49	-13.82	-1.83
T/P/A	23.90	98693.00	221
ypr	-57.16	-8.25	-4.88
T/P/A	23.90	98696.00	221
ypr	-48.35	-3.20	-5.36
T/P/A	23.90	98696.00	221
ypr	-37.65	-5.06	-6.63
T/P/A	23.90	98698.00	221
ypr	-20.51	2.47	-3.61
T/P/A	23.90	98698.00	221
ypr	-2.62	4.59	-3.46
T/P/A	23.90	98699.00	220
ypr	16.32	2.97	0.91
T/P/A	23.90	98696.00	221
ypr	19.18	1.18	-1.03
T/P/A	23.90	98694.00	221
ypr	22.03	2.50	-1.19
T/P/A	23.90	98704.00	220
ypr	27.37	6.21	-0.54
T/P/A	23.90	98688.00	221
ypr	38.29	9.47	-0.80
T/P/A	23.90	98694.00	221
ypr	53.19	3.91	4.91
T/P/A	23.90	98698.00	221
ypr	69.74	1.39	6.83
T/P/A	23.90	98695.00	221
ypr	87.71	2.52	3.82
T/P/A	23.90	98694.00	221
ypr	104.86	1.81	5.22
T/P/A	23.90	98694.00	221
ypr	117.81	-2.07	6.06
T/P/A	23.90	98694.00	221
ypr	119.91	-3.17	3.18
T/P/A	23.90	98690.00	221
ypr	123.81	-0.78	0.76
T/P/A	23.90	98691.00	221
ypr	129.28	2.36	5.25
T/P/A	24.00	98691.00	221
ypr	126.88	1.34	2.50
T/P/A	24.00	98696.00	221
ypr	123.04	-0.55	3.33
T/P/A	23.90	98688.00	221
ypr	119.21	-1.30	3.53
T/P/A	24.00	98696.00	221
ypr	118.37	3.27	3.41
T/P/A	24.00	98691.00	221
ypr	118.17	8.68	3.23
T/P/A	24.00	98689.00	221
ypr	118.00	8.41	2.88
T/P/A	24.00	98688.00	221
ypr	117.95	8.63	2.53
T/P/A	24.00	98686.00	222
ypr	118.30	8.02	2.27
T/P/A	24.00	98694.00	221
ypr	118.83	8.26	1.41
T/P/A	24.00	98697.00	221
ypr	119.16	8.15	1.22
T/P/A	24.00	98690.00	221
ypr	119.30	7.28	0.98
T/P/A	24.00	98689.00	221
ypr	119.30	7.21	1.04
T/P/A	24.00	98690.00	221
ypr	119.38	7.25	1.07
T/P/A	24.00	98698.00	221
ypr	119.52	7.05	0.96
T/P/A	24.00	98686.00	222
ypr	119.52	6.97	0.98
T/P/A	24.00	98689.00	221
ypr	119.50	6.42	1.02
T/P/A	24.00	98687.00	221
ypr	119.55	6.47	1.12
T/P/A	24.00	98689.00	221
ypr	119.61	6.38	1.06
T/P/A	24.00	98691.00	221
ypr	119.72	6.45	0.96
T/P/A	24.00	98691.00	221
ypr	119.74	6.43	0.91
T/P/A	24.00	98693.00	221
ypr	119.80	6.42	0.84
T/P/A	24.00	98689.00	221
ypr	119.83	6.45	0.82
T/P/A	24.00	98692.00	221
ypr	119.83	6.44	0.81
T/P/A	24.00	98689.00	221
ypr	119.84	6.44	0.81
T/P/A	24.00	98689.00	221
ypr	119.91	6.46	0.79
T/P/A	24.00	98693.00	221
ypr	119.89	6.53	0.77
T/P/A	24.00	98694.00	221
ypr	119.79	6.64	0.76
T/P/A	24.00	98693.00	221
ypr	119.58	6.63	0.74
T/P/A	24.00	98692.00	221
ypr	119.50	6.32	0.89
T/P/A	24.00	98691.00	221
ypr	119.49	6.09	0.86
T/P/A	24.00	98691.00	221
ypr	119.40	5.88	0.96
T/P/A	24.00	98688.00	221
ypr	119.31	5.73	0.96
T/P/A	24.00	98695.00	221
ypr	119.09	5.37	0.82
T/P/A	24.00	98689.00	221
ypr	118.55	4.76	2.74
T/P/A	24.00	98693.00	221
ypr	118.59	4.47	2.45
T/P/A	24.00	98687.00	221
ypr	118.63	4.07	1.94
T/P/A	24.00	98689.00	221
ypr	118.46	2.58	1.88
T/P/A	24.00	98687.00	221
ypr	118.48	1.77	1.84
T/P/A	24.00	98688.00	221
ypr	118.45	1.10	1.63
T/P/A	24.00	98690.00	221
ypr	118.46	0.74	1.53
T/P/A	24.00	98687.00	221
ypr	118.54	0.38	1.39
T/P/A	24.00	98699.00	220
ypr	118.09	0.68	2.07
T/P/A	24.00	98688.00	221
ypr	117.70	2.10	3.04
T/P/A	24.00	98695.00	221
ypr	117.81	2.18	3.27
T/P/A	24.00	98693.00	221
ypr	117.01	2.38	6.59
T/P/A	24.00	98695.00	221
ypr	116.89	2.72	7.10
T/P/A	24.00	98690.00	221
ypr	114.31	5.36	18.02
T/P/A	24.00	98691.00	221
ypr	113.74	9.80	26.25
T/P/A	24.00	98692.00	221
ypr	114.25	8.50	24.08
T/P/A	24.00	98693.00	221
ypr	115.07	4.55	15.08
T/P/A	24.00	98688.00	221
ypr	116.94	1.17	5.42
T/P/A	24.00	98686.00	222
ypr	119.53	-1.22	-9.51
T/P/A	24.00	98686.00	222
ypr	122.58	-1.73	-17.83
T/P/A	24.00	98687.00	221
ypr	116.12	-1.46	-6.09
T/P/A	24.00	98689.00	221
ypr	113.53	-1.69	3.74
T/P/A	24.00	98695.00	221
ypr	114.71	-1.85	3.04
T/P/A	24.00	98688.00	221
ypr	115.51	-1.15	2.72
T/P/A	24.00	98687.00	221
ypr	115.75	-0.05	-0.47
T/P/A	24.00	98686.00	222
ypr	115.61	1.72	-1.18
T/P/A	24.00	98696.00	221
ypr	116.03	10.11	-1.07
T/P/A	24.00	98697.00	221
ypr	115.00	20.17	-0.05
T/P/A	24.00	98685.00	222
ypr	113.17	29.85	0.18
T/P/A	24.00	98690.00	221
ypr	111.54	35.31	1.16
T/P/A	24.00	98684.00	222
ypr	112.88	30.31	0.95
T/P/A	24.00	98697.00	221
ypr	114.85	15.39	-0.31
T/P/A	24.00	98696.00	221
ypr	114.23	13.17	1.04
T/P/A	24.00	98691.00	221
ypr	114.64	9.08	2.05
T/P/A	24.00	98691.00	221
ypr	113.66	7.91	1.52
T/P/A	24.00	98689.00	221
ypr	113.71	12.92	0.60
T/P/A	24.00	98691.00	221
ypr	113.19	22.49	0.74
T/P/A	24.00	98696.00	221
ypr	113.83	29.78	3.35
T/P/A	24.00	98696.00	221
ypr	113.77	36.76	7.45
T/P/A	24.10	98695.00	221
ypr	113.33	39.52	7.46
T/P/A	24.00	98689.00	221
ypr	113.77	38.30	7.09
T/P/A	24.10	98694.00	221
ypr	114.92	32.50	6.18
T/P/A	24.10	98691.00	221
ypr	115.54	27.31	4.71
T/P/A	24.10	98689.00	221
ypr	115.82	25.69	5.27
T/P/A	24.10	98692.00	221
ypr	116.24	23.68	5.05
T/P/A	24.10	98693.00	221
ypr	116.79	18.77	3.07
T/P/A	24.10	98694.00	221
ypr	117.32	14.36	2.58
T/P/A	24.10	98692.00	221
ypr	117.34	12.58	3.73
T/P/A	24.10	98692.00	221
ypr	116.63	16.02	5.53
T/P/A	24.10	98692.00	221
ypr	115.89	24.07	8.13
T/P/A	24.10	98684.00	222
ypr	116.34	31.44	13.97
T/P/A	24.10	98686.00	222
ypr	115.38	40.27	18.68
T/P/A	24.10	98686.00	222
ypr	112.13	53.26	24.96
T/P/A	24.10	98683.00	222
ypr	110.20	59.13	23.83
T/P/A	24.10	98686.00	222
ypr	105.04	67.34	18.29
T/P/A	24.10	98688.00	221
ypr	91.57	81.15	-14.97
T/P/A	24.10	98688.00	221
ypr	86.84	81.26	-43.73
T/P/A	24.10	98694.00	221
ypr	88.05	82.33	-36.36
T/P/A	24.10	98686.00	222
ypr	91.62	86.37	4.80
T/P/A	24.10	98698.00	221
ypr	91.09	87.97	12.70
T/P/A	24.10	98690.00	221
ypr	88.00	86.28	-50.13
T/P/A	24.10	98694.00	221
ypr	87.60	85.51	-50.41
T/P/A	24.10	98697.00	221
ypr	90.99	89.05	77.72
T/P/A	24.10	98694.00	221
ypr	92.02	87.99	54.61
T/P/A	24.10	98688.00	221
ypr	91.02	87.17	0.66
T/P/A	24.10	98698.00	221
ypr	92.01	86.41	12.62
T/P/A	24.10	98694.00	221
ypr	91.91	85.10	1.49
T/P/A	24.10	98691.00	221
ypr	92.31	85.43	9.88
T/P/A	24.10	98690.00	221
ypr	92.24	85.52	10.93
T/P/A	24.10	98697.00	221
ypr	91.83	84.28	-0.53
T/P/A	24.10	98690.00	221
ypr	92.14	83.63	-0.26
T/P/A	24.10	98692.00	221
ypr	91.34	83.02	-8.10
T/P/A	24.10	98697.00	221
ypr	96.34	79.54	15.74
T/P/A	24.10	98698.00	221
ypr	99.03	74.49	13.02
T/P/A	24.10	98684.00	222
ypr	96.46	76.74	6.94
T/P/A	24.10	98697.00	221
ypr	96.75	75.58	5.35
T/P/A	24.20	98695.00	221
ypr	96.20	72.84	-1.36
T/P/A	24.10	98688.00	221
ypr	96.05	74.49	0.23
T/P/A	24.20	98693.00	221
ypr	96.02	73.71	-1.15
T/P/A	24.20	98693.00	221
ypr	95.95	74.31	-0.01
T/P/A	24.20	98698.00	221
ypr	95.78	75.54	1.82
T/P/A	24.20	98696.00	221
ypr	96.33	75.03	3.14
T/P/A	24.20	98687.00	221
ypr	97.29	74.90	7.25
T/P/A	24.20	98690.00	221
ypr	98.40	74.63	11.70
T/P/A	24.20	98695.00	221
ypr	98.40	74.19	10.38
T/P/A	24.20	98697.00	221
ypr	98.76	71.64	5.79
T/P/A	24.20	98691.00	221
ypr	98.63	68.67	-0.26
T/P/A	24.20	98689.00	221
ypr	98.11	70.55	0.42
T/P/A	24.20	98692.00	221
ypr	98.13	69.08	-1.57
T/P/A	24.20	98693.00	221
ypr	97.54	68.39	-4.13
T/P/A	24.20	98689.00	221
ypr	97.22	70.09	-3.04
T/P/A	24.20	98698.00	221
ypr	98.31	69.93	1.07
T/P/A	24.20	98691.00	221
ypr	99.29	68.90	3.99
T/P/A	24.20	98685.00	222
ypr	99.32	68.67	4.01
T/P/A	24.30	98681.00	222
ypr	99.18	68.88	4.08
T/P/A	24.30	98682.00	222
ypr	99.54	68.29	4.23
T/P/A	24.30	98682.00	222
ypr	99.55	68.77	4.93
T/P/A	24.30	98685.00	222
ypr	99.66	68.90	5.20
T/P/A	24.30	98691.00	221
ypr	100.00	68.18	5.19
T/P/A	24.30	98686.00	222
ypr	100.08	68.10	5.26
T/P/A	24.30	98684.00	222
ypr	100.16	67.92	5.24
T/P/A	24.30	98688.00	221
ypr	100.65	66.46	4.55
T/P/A	24.30	98687.00	221
ypr	100.39	67.00	4.57
T/P/A	24.30	98685.00	222
ypr	100.56	66.82	4.83
T/P/A	24.30	98685.00	222
ypr	100.77	66.43	4.82
T/P/A	24.30	98684.00	222
ypr	100.37	66.74	4.16
T/P/A	24.30	98691.00	221
ypr	99.75	67.52	3.47
T/P/A	24.30	98685.00	222
ypr	97.45	70.08	0.03
T/P/A	24.30	98693.00	221
ypr	93.16	76.69	-7.06
T/P/A	24.30	98690.00	221
ypr	92.35	82.66	-1.96
T/P/A	24.30	98693.00	221
ypr	92.67	83.42	2.63
T/P/A	24.30	98697.00	221
ypr	94.35	81.85	9.12
T/P/A	24.30	98693.00	221
ypr	93.94	82.38	8.37
T/P/A	24.30	98695.00	221
ypr	93.01	81.89	-0.30
T/P/A	24.30	98695.00	221
ypr	92.62	81.32	-4.21
T/P/A	24.30	98699.00	220
ypr	92.77	81.05	-3.82
T/P/A	24.30	98694.00	221
ypr	92.72	80.92	-4.39
T/P/A	24.30	98700.00	220
ypr	92.50	80.77	-6.11
T/P/A	24.30	98689.00	221
ypr	92.49	80.65	-6.34
T/P/A	24.30	98687.00	221
ypr	92.65	80.70	-5.19
T/P/A	24.30	98692.00	221
ypr	92.61	80.58	-5.68
T/P/A	24.30	98688.00	221
ypr	92.49	80.48	-6.56
T/P/A	24.30	98692.00	221
ypr	92.38	80.49	-7.15
T/P/A	24.30	98688.00	221
ypr	92.42	80.46	-6.95
T/P/A	24.30	98689.00	221
ypr	92.30	80.41	-7.76
T/P/A	24.30	98687.00	221
ypr	92.30	80.44	-7.66
T/P/A	24.30	98691.00	221
ypr	92.50	80.46	-6.36
T/P/A	24.30	98693.00	221
ypr	92.46	80.34	-6.92
T/P/A	24.30	98685.00	222
ypr	92.33	80.22	-7.95
T/P/A	24.30	98689.00	221
ypr	92.30	80.18	-8.24
T/P/A	24.30	98689.00	221
ypr	92.34	80.17	-7.98
T/P/A	24.30	98690.00	221
ypr	92.41	80.05	-7.82
T/P/A	24.30	98691.00	221
ypr	92.44	80.06	-7.57
T/P/A	24.30	98693.00	221
ypr	92.46	80.08	-7.45
T/P/A	24.30	98691.00	221
ypr	92.40	80.11	-7.79
T/P/A	24.30	98689.00	221
ypr	92.35	80.09	-8.17
T/P/A	24.30	98693.00	221
ypr	92.33	80.10	-8.19
T/P/A	24.30	98687.00	221
ypr	92.35	80.07	-8.14
T/P/A	24.30	98684.00	222
ypr	92.38	80.08	-7.90
T/P/A	24.30	98687.00	221
ypr	92.40	80.12	-7.66
T/P/A	24.30	98693.00	221
ypr	92.42	80.10	-7.56
T/P/A	24.30	98688.00	221
ypr	92.32	80.06	-8.22
T/P/A	24.30	98689.00	221
ypr	92.36	80.14	-7.83
T/P/A	24.30	98689.00	221
ypr	92.34	80.11	-7.96
T/P/A	24.30	98691.00	221
ypr	92.26	80.06	-8.47
T/P/A	24.30	98695.00	221
ypr	92.20	80.06	-8.82
T/P/A	24.30	98690.00	221
ypr	92.21	80.07	-8.66
T/P/A	24.30	98693.00	221
ypr	92.23	80.05	-8.64
T/P/A	24.30	98692.00	221
ypr	92.24	80.05	-8.53
T/P/A	24.30	98685.00	222
ypr	92.25	80.04	-8.49
T/P/A	24.30	98693.00	221
ypr	92.23	80.03	-8.58
T/P/A	24.30	98691.00	221
ypr	92.22	80.03	-8.62
T/P/A	24.30	98689.00	221
ypr	92.21	80.03	-8.67
T/P/A	24.30	98688.00	221
ypr	92.15	80.04	-8.96
T/P/A	24.30	98689.00	221
ypr	92.13	80.05	-9.05
T/P/A	24.30	98684.00	222
ypr	92.11	80.04	-9.14
T/P/A	24.30	98692.00	221
ypr	92.11	80.05	-9.07
T/P/A	24.30	98700.00	220
ypr	92.13	80.04	-8.96
T/P/A	24.30	98691.00	221
ypr	92.12	80.02	-9.08
T/P/A	24.30	98691.00	221
ypr	92.11	80.01	-9.13
T/P/A	24.30	98691.00	221
ypr	92.06	80.00	-9.35
T/P/A	24.30	98693.00	221
ypr	92.06	80.00	-9.36
T/P/A	24.30	98685.00	222
ypr	92.05	80.01	-9.40
T/P/A	24.30	98684.00	222
ypr	92.02	80.06	-9.41
T/P/A	24.20	98687.00	221
ypr	92.08	80.11	-8.95
T/P/A	24.30	98685.00	222
ypr	92.07	80.15	-8.89
T/P/A	24.30	98687.00	221
ypr	92.06	80.18	-8.85
